ClassId,Image,Category,CommonName,FamilyName,ScientificName,Height,Weight,Habitat,Lifespan,Description
525,Image/train/SNOW GOOSE/001.jpg,Bird,Snow Goose,Anatidae,Anser caerulescens,64-79 cm,1.5-3.2 kg,Arctic tundra and coastal areas,Up to 24 years,"The Snow Goose (Anser caerulescens) is a large waterfowl species found in North America. It is known for its distinctive white plumage, although some individuals may have a dark morph. Snow Geese undertake long migrations, traveling between breeding grounds in the Arctic tundra and wintering grounds in southern North America. Conservation efforts involve protecting their breeding and wintering habitats, addressing potential threats such as habitat loss and hunting, and promoting responsible waterfowl management practices to ensure the well-being of these migratory birds. Snow Geese are iconic symbols of North American wetlands and are admired for their impressive aerial displays during migration."
526,Image/train/SNOW PARTRIDGE/001.jpg,Bird,Snow Partridge,Phasianidae,Lerwa lerwa,33-36 cm,450-700 g,Alpine and subalpine regions,Up to 10 years,"The Snow Partridge (Lerwa lerwa) is a bird species found in the Himalayan region, known for its cryptic plumage that provides effective camouflage in alpine environments. Inhabiting high-altitude rocky areas, Snow Partridges primarily feed on seeds, insects, and vegetation. Conservation efforts focus on preserving their alpine habitats, addressing potential threats such as habitat degradation and climate change, and promoting responsible tourism practices to ensure the well-being of these elusive and visually adapted birds in their native ecosystems. Snow Partridges are valued for their adaptations to harsh mountain environments and are sought after by birdwatchers for their unique characteristics."
527,Image/train/SNOWY EGRET/01.jpg,Bird,Snowy Egret,Ardeidae,Egretta thula,56-66 cm,270-400 g,"Wetlands, marshes, and coastal areas",Up to 15 years,"The Snowy Egret (Egretta thula) is a medium-sized wading bird found in the Americas. Known for its elegant appearance, the Snowy Egret has distinctive long plumes, a black bill, and yellow feet. It primarily inhabits coastal areas, estuaries, and freshwater wetlands, where it forages for fish, invertebrates, and amphibians. Conservation efforts involve protecting their wetland habitats, addressing potential threats such as habitat loss and disturbance, and promoting responsible conservation practices to ensure the well-being of these iconic and visually striking wading birds. Snowy Egrets are valued for their role in controlling aquatic prey populations and contribute to the diversity of birdlife in wetland ecosystems."
528,Image/train/SNOWY OWL/001.jpg,Bird,Snowy Owl,Strigidae,Bubo scandiacus,53-65 cm,1.6-2.9 kg,Arctic tundra and open areas,Up to 10 years,"The Snowy Owl (Bubo scandiacus) is a large owl species with distinctive white plumage, found in Arctic and subarctic regions of North America, Europe, and Asia. Snowy Owls are well-adapted to cold environments and have feathered feet for insulation. They primarily feed on lemmings and other small mammals. Conservation efforts for Snowy Owls involve monitoring their populations, addressing potential threats such as climate change and disturbance, and promoting responsible bird-watching practices to ensure the well-being of these Arctic icons. Snowy Owls are highly valued by birdwatchers for their striking appearance and are often associated with winter landscapes in their range."
529,Image/train/SNOWY PLOVER/001.jpg,Bird,Snowy Plover,Charadriidae,Charadrius nivosus,15-17 cm,42-64 g,"Coastal areas, beaches, and sandbars",Up to 5 years,"The Snowy Plover (Charadrius nivosus) is a small shorebird found in North and South America. It is known for its pale plumage, dark patches on the face, and a black ""breastband."" Snowy Plovers primarily inhabit sandy beaches, coastal dunes, and salt flats. Conservation efforts involve protecting their nesting habitats, addressing potential threats such as disturbance by human activities and predation, and promoting responsible beach management practices to ensure the well-being of these small and delicate shorebirds. Snowy Plovers are considered ""near-threatened"" in some regions, and conservation initiatives aim to mitigate threats and preserve their coastal habitats."
530,Image/train/SNOWY SHEATHBILL/1.jpg,Bird,Snowy Sheathbill,Chionididae,Chionis albus,30-36 cm,240-475 g,Antarctic and subantarctic regions,Up to 15 years,"The Snowy Sheathbill (Chionis albus) is a seabird species found in Antarctica and sub-Antarctic islands. Adapted to harsh polar environments, Snowy Sheathbills have a distinctive pure white plumage and a unique pink facial skin. They primarily feed on carrion, marine invertebrates, and bird eggs. Conservation efforts involve monitoring their populations, addressing potential threats such as climate change and human disturbance, and promoting responsible tourism practices to ensure the well-being of these Antarctic seabirds. Snowy Sheathbills are valued for their adaptations to extreme cold and are a characteristic species of polar ecosystems."
531,Image/train/SORA/001.jpg,Bird,Sora,Rallidae,Porzana carolina,20-28 cm,68-198 g,"Marshes, wetlands, and grassy areas",Up to 7 years,"The Sora (Porzana carolina) is a small rail species found in wetlands across North America. Known for its secretive behavior, Soras have brown plumage with a distinctive black face mask. They inhabit marshes, reed beds, and other freshwater habitats, where they forage for insects, seeds, and small invertebrates. Conservation efforts involve protecting their wetland habitats, addressing potential threats such as habitat loss and pollution, and promoting sustainable water management practices to ensure the well-being of these elusive and migratory birds. Soras are appreciated by birdwatchers for their unique vocalizations and challenging observation opportunities."
532,Image/train/SPANGLED COTINGA/001.jpg,Bird,Spangled Cotinga,Cotingidae,Cotinga cayana,20-23 cm,40-48 g,Tropical rainforests,Up to 10 years,"The Spangled Cotinga (Cotinga cayana) is a vibrant bird species found in South America, particularly in the Amazon Basin. Males are known for their striking turquoise-blue plumage, while females have more subdued greenish-brown coloring. Spangled Cotingas inhabit tropical rainforests, where they feed on fruits and insects. Conservation efforts focus on preserving their forest habitats, addressing threats such as deforestation and illegal trade, and promoting sustainable forestry practices to ensure the well-being of these visually stunning birds. Spangled Cotingas contribute to the biodiversity and beauty of neotropical ecosystems."
533,Image/train/SPARROW/01fb6bf91f.jpg,Bird,Sparrow,Passeridae,Various species,Varies,Varies,"Various habitats including urban areas, grasslands, and forests",Varies,"Sparrows are a diverse group of small passerine birds belonging to the family Passeridae. They are found worldwide in a variety of habitats, including urban areas, grasslands, and woodlands. Sparrows typically have brown or gray plumage, with some species exhibiting distinctive markings. They primarily feed on seeds and insects. Conservation efforts for sparrows involve creating and maintaining suitable habitats, addressing urbanization challenges, and promoting awareness about the importance of these common yet ecologically significant birds. Sparrows are valued for their adaptability and close association with human environments."
534,Image/train/SPLENDID WREN/001.jpg,Bird,Splendid Wren,Maluridae,Malurus splendens,14-15 cm,8-14 g,"Woodlands, shrublands, and gardens",Up to 6 years,"The Splendid Wren (Malurus splendens) is a small and colorful songbird found in Australia. Males have striking blue and black plumage during the breeding season, while females and non-breeding males are more subdued. Splendid Wrens inhabit arid and semi-arid regions, where they forage for insects and seeds. Conservation efforts involve protecting their native habitats, addressing potential threats such as habitat degradation and climate change, and promoting responsible land management practices to ensure the well-being of these visually appealing birds. Splendid Wrens are admired for their vibrant colors and energetic behaviors."
